Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,00:00,58,50,108,58,50,108,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,01:00,23,21,44,23,21,44,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,02:00,26,18,44,26,18,44,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,03:00,20,21,41,20,21,41,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,04:00,16,11,27,16,11,27,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,05:00,36,42,78,36,42,78,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,06:00,72,62,134,72,62,134,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,07:00,171,142,313,171,142,313,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,08:00,227,185,412,227,185,412,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,09:00,206,265,471,206,265,471,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,10:00,280,278,558,280,278,558,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,11:00,320,429,749,320,429,749,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,12:00,472,554,1026,472,554,1026,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,13:00,634,797,1431,634,797,1431,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,14:00,406,530,936,406,530,936,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,15:00,425,507,932,425,507,932,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,16:00,380,675,1055,380,675,1055,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,17:00,508,504,1012,508,504,1012,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,18:00,528,497,1025,528,497,1025,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,19:00,320,280,600,320,280,600,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,20:00,234,232,466,234,232,466,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,21:00,153,110,263,153,110,263,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,22:00,135,116,251,135,116,251,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Monday,09-Jan-23,23:00,103,80,183,103,80,183,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,00:00,79,68,147,79,68,147,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,01:00,54,67,121,54,67,121,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,02:00,70,145,215,70,145,215,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,03:00,143,242,385,143,242,385,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,04:00,27,28,55,27,28,55,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,05:00,28,29,57,28,29,57,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,06:00,77,52,129,77,52,129,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,07:00,236,165,401,236,165,401,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,08:00,246,205,451,246,205,451,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,09:00,207,221,428,207,221,428,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,10:00,195,207,402,195,207,402,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,11:00,223,282,505,223,282,505,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,12:00,390,515,905,390,515,905,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,13:00,426,476,902,426,476,902,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,14:00,359,481,840,359,481,840,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,15:00,373,500,873,373,500,873,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,16:00,461,723,1184,461,723,1184,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,17:00,506,607,1113,506,607,1113,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,18:00,533,535,1068,533,535,1068,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,19:00,322,327,649,322,327,649,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,20:00,246,235,481,246,235,481,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,21:00,173,190,363,173,190,363,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,22:00,121,101,222,121,101,222,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Tuesday,10-Jan-23,23:00,87,89,176,87,89,176,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,00:00,53,52,105,53,52,105,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,01:00,28,28,56,28,28,56,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,02:00,21,25,46,21,25,46,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,03:00,9,14,23,9,14,23,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,04:00,23,24,47,23,24,47,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,05:00,39,53,92,39,53,92,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,06:00,62,41,103,62,41,103,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,07:00,225,158,383,225,158,383,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,08:00,282,210,492,282,210,492,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,09:00,256,249,505,256,249,505,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,10:00,266,271,537,266,271,537,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,11:00,346,430,776,346,430,776,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,12:00,504,592,1096,504,592,1096,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,13:00,496,600,1096,496,600,1096,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,14:00,336,478,814,336,478,814,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,15:00,300,469,769,300,469,769,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,16:00,419,693,1112,419,693,1112,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,17:00,476,548,1024,476,548,1024,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,18:00,571,556,1127,571,556,1127,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,19:00,366,323,689,366,323,689,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,20:00,264,224,488,264,224,488,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,21:00,139,154,293,139,154,293,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,22:00,156,118,274,156,118,274,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Wednesday,11-Jan-23,23:00,107,85,192,107,85,192,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Thursday,12-Jan-23,00:00,65,73,138,65,73,138,No Group
Leeds - New,Albion Street at McDonalds,2023,January,2,Thursday,12-Jan-23,01:00,66,92,158,66,92,158,No Group
